invoice_number,vendor,invoice_date,total_amount,currency,total_amount_usd,source_file,flag_failed,flag_line_total_mismatch,line_items
INV-2026/31164,Pied Piper Llc,"Apr 14, 2025",11405.33,USD,11405.33,209.pdf,False,True,"[{'description': 'Freight and shipping', 'amount': 3599.55}, {'description': 'Annual software license', 'amount': 1146.92}, {'description': 'Onsite training', 'amount': 4921.2}, {'description': 'Freight and shipping', 'amount': 277.86}, {'description': 'Freight and shipping', 'amount': 277.86}]"
INV.27727,Vandelay Industries,20.11.2026,22764.61,USD,22764.61,21.pdf,False,True,"[{'description': 'cloud hosting', 'amount': 753.62}, {'description': 'freight and shipping', 'amount': 645.23}, {'description': 'spare parts', 'amount': 165.73}, {'description': 'on-site training', 'amount': 484.9}, {'description': 'cloud hosting', 'amount': 18.11}]"
INV. 56919,Black Mesa Supplies,2025-05-25,11483.83,INR,137.80596,210.pdf,False,,"[{'description': 'Cloud Hosting', 'amount': 1609.29}, {'description': 'Security Audit', 'amount': 4647.2}, {'description': 'Security Audit', 'amount': 84.92}, {'description': 'Spare Parts', 'amount': 3952.44}, {'description': 'Consulting Hours', 'amount': 1189.98}]"
INV.13124,Wayne Enterprises Ltd,2025-10-19,26882.38,EUR,29032.970400000002,211.pdf,False,True,"[{'description': 'Premium Support Plan', 'amount': 1012.86}, {'description': 'Annual Software License', 'amount': 5954.8}, {'description': 'Data Subscription', 'amount': 7164.52}, {'description': 'Data Subscription', 'amount': 8649.5}]"
INV-2026/87822,Cyberdyne Systems,2025-09-18,6187.53,EUR,6682.5324,212.pdf,False,True,"[{'description': 'System installation', 'amount': 3731.28}, {'description': 'Design work', 'amount': 1573.08}, {'description': 'Security audit', 'amount': 843.17}]"
INV-69597,Vandelay Industries,"Aug 21, 2026",17245.66,USD,17245.66,214.pdf,False,,"[{'description': 'System installation', 'amount': 3584.48}, {'description': 'Spare parts', 'amount': 796.44}, {'description': 'Onsite training', 'amount': 3477.6}, {'description': 'Cloud hosting', 'amount': 2470.5}, {'description': 'Onsite training', 'amount': 6916.64}]"
INV/11377,Globex Llc,11.04.2025,3.66748,EUR,3.9608784,215.pdf,False,True,"[{'description': 'Onsite training', 'amount': 1.52968}, {'description': 'Spare parts', 'amount': 871.14}, {'description': 'Spare parts', 'amount': 1266.66}]"
INV-40326,Umbrella Corporation Inc,2025-04-04,13.72424,EUR,14.8221792,216.pdf,False,True,"[{'description': 'Design work', 'amount': 7.4899}, {'description': 'License renewal', 'amount': 4.02654}, {'description': 'Data subscription', 'amount': 2.1953}, {'description': 'Subtotal', 'amount': 13.71174}, {'description': 'Shipping', 'amount': 12.5}, {'description': 'Remittance', 'amount': 13.72424}]"
INV-84662,Oscorp Industries,2026-02-05,10902.19,GBP,13845.7813,217.pdf,False,True,"[{'description': 'Spare Parts', 'amount': 7711.11}, {'description': 'Server Hardware', 'amount': 140.4}, {'description': 'Quarterly Maintenance', 'amount': 3010.68}]"
INV-14498,Black Mesa Supplies,10.02.2026,10473.19,EUR,11311.0452,218.pdf,False,True,"[{'description': 'Quarterly maintenance', 'amount': 300200.0}, {'description': 'Freight and shipping', 'amount': 66954.0}]"
INV. 71847/INV.,Vandelay Industries,05.11.2026,3403.43,USD,3403.43,219.pdf,False,True,"[{'description': 'Premium Support Plan', 'amount': 2633.4}, {'description': 'Freight and Shipping', 'amount': 517.92}]"
INV-68501,Massive Dynamic,2026-03-23,25840.92,INR,310.09103999999996,220.pdf,False,True,"[{'description': 'Data Subscription', 'amount': 889.92}, {'description': 'Onsite Training', 'amount': 828.86}, {'description': 'Freight and Shipping', 'amount': 406.94}, {'description': 'Server Hardware', 'amount': 280.7}, {'description': 'Server Hardware', 'amount': 552.9}]"
INV-44741,Acme Corp,05.07.2025,17019.03,INR,204.22835999999998,221.pdf,False,True,"[{'description': 'Cloud Hosting', 'amount': 6380.96}, {'description': 'System Installation', 'amount': 9068.16}]"
PO-47206,Oscorp Industries,2026-07-07,1.0,USD,1.0,223.pdf,False,True,"[{'description': 'cloud hosting', 'amount': 1491.04}, {'description': 'freight and shipping', 'amount': 264.25}, {'description': 'quarterly maintenance', 'amount': 701.97}, {'description': 'design work', 'amount': 4623.84}, {'description': 'premium support plan', 'amount': 1708.5}]"
INV-2026/35591,Nakatomi Trading,2026-07-02,2038.44,INR,24.461280000000002,224.pdf,False,True,"[{'description': 'Annual Software License', 'amount': 191.53}, {'description': 'Server Hardware', 'amount': 549.52}]"
INV/83487,Oscorp Industries,2025-07-27,1998.75,EUR,2158.65,225.pdf,False,True,"[{'description': 'License Renewal', 'amount': 114.68}, {'description': 'Onsite Training', 'amount': 851.95}]"
INV-25156,Vandelay Industries,"Sep 9, 2025",7386.62,INR,88.63944000000001,227.pdf,False,True,"[{'description': 'Server Hardware', 'amount': 3587.16}, {'description': 'Data Subscription', 'amount': 1464.32}, {'description': 'Premium Support Plan', 'amount': 1104.04}]"
INV-3902,Wayne Enterprises Ltd,2026-04-26,5876.96,GBP,7463.7392,228.pdf,False,True,"[{'description': 'Security Audit', 'amount': 3354.04}, {'description': 'Design Work', 'amount': 2482.92}]"
INV-46394,Hooli Inc,2026-10-08,3.5543,EUR,3.8386440000000004,229.pdf,False,True,"[{'description': 'Annual Software License', 'amount': 1.71414}, {'description': 'Onsite Training', 'amount': 1.51704}]"
INV. Account for remittance AC3711653,Hooli Inc,2026-09-02,6.89826,EUR,7.4501208,23.pdf,False,True,"[{'description': 'Server Hardware', 'amount': 6.45252}, {'description': 'Quarterly Maintenance', 'amount': 445.74}]"
INV-9819-INV,Acme Corp,2025-04-17,11077.62,INR,132.93144,230.pdf,False,True,"[{'description': 'Design work', 'amount': 5674.02}, {'description': 'Quarterly maintenance', 'amount': 4077.6}, {'description': 'Cloud hosting', 'amount': 351.61}, {'description': 'Consulting hours', 'amount': 446.88}]"
INV. 63793/INV.,Bluth Company,2025-03-17,29362.25,EUR,31711.230000000003,231.pdf,False,True,"[{'description': 'Cloud Hosting', 'amount': 10573.0}, {'description': 'Premium Support Plan', 'amount': 4773.72}, {'description': 'Spare Parts', 'amount': 6785.02}, {'description': 'Onsite Training', 'amount': 9328.77}, {'description': 'System Installation', 'amount': 3475.3}]"
INV/43954,Black Mesa Supplies,2025-06-22,4170.88,EUR,4504.5504,233.pdf,False,,"[{'description': 'Design work', 'amount': 2837.05}, {'description': 'Spare parts', 'amount': 649.71}, {'description': 'Data subscription', 'amount': 684.12}]"
INV-2026/51289,Wonka Industries,2025-08-23,12206.32,INR,146.47584,234.pdf,False,True,"[{'description': 'License Renewal', 'amount': 4246.5}, {'description': 'Security Audit', 'amount': 5140.59}, {'description': 'Data Subscription', 'amount': 957.25}]"
INV-51337,Acme Corp,2026-04-13,17.63567,EUR,19.046523600000004,236.pdf,False,True,"[{'description': 'License Renewal', 'amount': 1.88068}, {'description': 'Cloud Hosting', 'amount': 7.6368}, {'description': 'Data Subscription', 'amount': 5.428}]"
INV-78579-INV,Gekko And Co,2026-05-21,6910.62,GBP,8776.4874,237.pdf,False,True,"[{'description': 'Data Subscription', 'amount': 4647.33}, {'description': 'Consulting Hours', 'amount': 313.8}, {'description': 'Premium Support Plan', 'amount': 1437.59}]"
INV-61818,Umbrella Corporation Inc,2025-10-11,5774.35,GBP,7333.424500000001,239.pdf,False,True,"[{'description': 'Annual Software License', 'amount': 2102.55}, {'description': 'Server Hardware', 'amount': 2426.8}, {'description': 'Data Subscription', 'amount': 1232.5}]"
INV-2026/40966,Aperture Labs,"Oct 4, 2025",13744.22,EUR,14843.7576,24.pdf,False,,"[{'description': 'Server Hardware', 'amount': 4017.05}, {'description': 'Server Hardware', 'amount': 6359.85}, {'description': 'Design Work', 'amount': 3367.32}]"
INV-97294,Hooli Inc,2026-08-22,5706.24,USD,5706.24,240.pdf,False,,"[{'description': 'Freight and Shipping', 'amount': 3981.75}, {'description': 'License Renewal', 'amount': 270.6}, {'description': 'Data Subscription', 'amount': 1453.89}]"
90877-INV,Wayne Enterprises Ltd,2026-12-24,21746.07,USD,21746.07,241.pdf,False,True,"[{'description': 'Premium Support Plan', 'amount': 2218.86}, {'description': 'License Renewal', 'amount': 5647.73}, {'description': 'System Installation', 'amount': 10562.28}]"
,Hooli Inc,,131.4,GBP,166.87800000000001,242.pdf,False,,[]
INV-51476-INV,Black Mesa Supplies,2025-09-23,2009.53,USD,2009.53,243.pdf,False,True,"[{'description': 'Premium Support Plan', 'amount': 1331.88}, {'description': 'Data Subscription', 'amount': 371.76}, {'description': 'Security Audit', 'amount': 210.2}]"
INV. Account for remittance AC9817647,Aperture Labs,2025-02-24,10319.05,EUR,11144.574,245.pdf,False,True,"[{'description': 'Onsite training', 'amount': 5027.46}, {'description': 'Onsite training', 'amount': 4812.9}, {'description': 'Server hardware', 'amount': 4786.9}]"
INV-59011,Pied Piper Llc,"Aug 18, 2025",13073.7,INR,156.8844,246.pdf,False,True,"[{'description': 'Freight and Shipping', 'amount': 848.9}, {'description': 'Data Subscription', 'amount': 458.47}]"
INV-9012,Vandelay Industries,01.05.2025,13.98254,EUR,15.101143200000001,247.pdf,False,True,"[{'description': 'Security Audit', 'amount': 7.0914}, {'description': 'Annual Software License', 'amount': 824.44}, {'description': 'Annual Software License', 'amount': 475.92}]"
INV/57268,Oscorp Industries,2026-06-28,3859.14,INR,46.30968,249.pdf,False,True,"[{'description': 'Design work', 'amount': 901.34}, {'description': 'Premium support plan', 'amount': 2917.8}]"
INV. 74537/INV.,Vandelay Industries,2025-08-26,11755.8,INR,141.0696,25.pdf,False,True,"[{'description': 'Spare Parts', 'amount': 2541.0}, {'description': 'Data Subscription', 'amount': 2773.68}, {'description': 'License Renewal', 'amount': 768.82}, {'description': 'Cloud Hosting', 'amount': 3713.0}]"
INV. 93458/INV.,Gekko And Co,2025-01-17,18035.11,INR,216.42132,250.pdf,False,,"[{'description': 'Data Subscription', 'amount': 6407.39}, {'description': 'Security Audit', 'amount': 1743.44}, {'description': 'Spare Parts', 'amount': 9884.28}]"
INV-92064,Vandelay Industries,2026-02-17,1327.19,GBP,1685.5313,251.pdf,False,True,"[{'description': 'Onsite training', 'amount': 1047.84}, {'description': 'Premium support plan', 'amount': 181.04}]"
Account for remittance AC9550209,Pied Piper Llc,2026-03-08,12150.88,INR,145.81055999999998,254.pdf,False,True,"[{'description': 'Premium support plan', 'amount': 2913.4}, {'description': 'Server hardware', 'amount': 5317.68}]"
INV-52468,Globex Llc,17.03.2025,13784.9,EUR,14887.692000000001,255.pdf,False,True,"[{'description': 'Cloud Hosting', 'amount': 18600.0}, {'description': 'Cloud Hosting', 'amount': 63062.0}, {'description': 'Spare Parts', 'amount': 83272.0}, {'description': 'Security Audit', 'amount': 22163.0}, {'description': 'Spare Parts', 'amount': 34677.0}]"
INV-21361,Globex Llc,2025-11-23,4386.66,EUR,4737.5928,256.pdf,False,True,"[{'description': 'Data Subscription', 'amount': 9519.0}, {'description': 'Cloud Hosting', 'amount': 88577.0}, {'description': 'Onsite Training', 'amount': 34057.0}]"
INV. 73386,Globex Llc,2026-07-03,8595.1,USD,8595.1,257.pdf,False,True,"[{'description': 'Spare Parts', 'amount': 3703.7}, {'description': 'License Renewal', 'amount': 2785.64}, {'description': 'Quarterly Maintenance', 'amount': 106.32}, {'description': 'License Renewal', 'amount': 556.51}]"
INV-12003,Soylent Corp,2025-12-10,3379.43,EUR,3649.7844,258.pdf,False,True,"[{'description': 'Security Audit', 'amount': 2392.32}, {'description': 'Design Work', 'amount': 826.18}]"
INV-53036,Soylent Corp,2026-02-06,356.1,GBP,452.247,26.pdf,False,True,"[{'description': 'Design work', 'amount': 356.1}, {'description': 'Quarterly maintenance', 'amount': 2478.88}]"
INV-67042,Tyrell Corp,,30.19,GBP,38.341300000000004,261.pdf,False,,[]
INV/68962,Globex Llc,20.12.2025,4592.96,GBP,5833.0592,262.pdf,False,True,"[{'description': 'cloud hosting', 'amount': 4592.96}, {'description': 'consulting hours', 'amount': 7372.0}]"
INV-2026/51061,Cyberdyne Systems,2025-09-24,7864.9,USD,7864.9,263.pdf,False,True,"[{'description': 'Server Hardware', 'amount': 2544.96}, {'description': 'Design Work', 'amount': 5294.94}]"
INV-22107,Wonka Industries,06.09.2026,9973.84,EUR,10771.747200000002,264.pdf,False,True,"[{'description': 'Spare Parts', 'amount': 14169.0}, {'description': 'Spares', 'amount': 69663.0}, {'description': 'Onsite Training', 'amount': 15743.0}]"
INV/68962,Globex Llc,2025-12-20,11964.96,GBP,15195.499199999998,265.pdf,False,,"[{'description': 'Cloud Hosting', 'amount': 4592.96}, {'description': 'Consulting Hours', 'amount': 7372.0}]"
INV.4031/INV.,Nakatomi Trading,2025-01-15,13620.06,INR,163.44072,266.pdf,False,True,"[{'description': 'Annual Software License', 'amount': 2274.78}, {'description': 'Quarterly Maintenance', 'amount': 1499.28}, {'description': 'Onsite Training', 'amount': 8058.71}, {'description': 'Cloud Hosting', 'amount': 1762.29}]"
INV-3947,Acme Corp,2026-05-21,4034.23,EUR,4356.968400000001,267.pdf,False,True,"[{'description': 'Security Audit', 'amount': 2239.2}, {'description': 'Quarterly Maintenance', 'amount': 1428.28}]"
INV-2026/34701,Massive Dynamic,2026-03-22,1568.31,GBP,1991.7537,268.pdf,False,True,"[{'description': 'Security Audit', 'amount': 690.63}, {'description': 'Freight and Shipping', 'amount': 582.96}, {'description': 'Subtotal', 'amount': 1273.59}, {'description': 'Tax', 'amount': 254.72}, {'description': 'Shipping', 'amount': 40.0}]"
INV_2026_50667,Nakatomi Trading,2025-07-11,7707.51,INR,92.49012,269.pdf,False,,"[{'description': 'Quarterly maintenance', 'amount': 2213.07}, {'description': 'Server hardware', 'amount': 5494.44}]"
INV. Account for remittance AC7366783,Aperture Labs,2025-01-01,11.66361,EUR,12.5966988,27.pdf,False,True,"[{'description': 'License Renewal', 'amount': 4.80966}, {'description': 'Premium Support Plan', 'amount': 2.6919}, {'description': 'License Renewal', 'amount': 1.09662}, {'description': 'Consulting Hours', 'amount': 1.64736}, {'description': 'Data Subscription', 'amount': 3.5774}]"
INV-75720-INV,Acme Corp,2025-07-18,1811.12,USD,1811.12,270.pdf,False,True,"[{'description': 'Annual Software License', 'amount': 1811.12}, {'description': 'System Installation', 'amount': 3932.88}, {'description': 'Annual Software License', 'amount': 9431.29}, {'description': 'Design Work', 'amount': 6394.7}]"
99358/INV.,Tyrell Corp,2025-09-18,4302.24,INR,51.62688,271.pdf,False,True,"[{'description': 'Design work', 'amount': 2717.96}, {'description': 'Security audit', 'amount': 151.17}, {'description': 'Design work', 'amount': 776.84}]"
INV-23033,Vandelay Industries,2025-12-02,5244.77,USD,5244.77,272.pdf,False,,"[{'description': 'Quarterly Maintenance', 'amount': 4995.02}, {'description': 'Quarterly Maintenance', 'amount': 249.75}]"
INV. 96887/INV.,Umbrella Corporation Inc,2026-04-27,10.33,EUR,11.156400000000001,273.pdf,False,True,"[{'description': 'Security Audit', 'amount': 3.28674}, {'description': 'Spare Parts', 'amount': 1.42709}, {'description': 'Subtotal', 'amount': 4.71383}, {'description': 'Tax', 'amount': 848.49}, {'description': 'Shipping', 'amount': 40.0}, {'description': 'Remittance', 'amount': 5.60232}]"
INV-2026/85890,Pied Piper Llc,2026-04-09,10.28143,EUR,11.103944400000001,276.pdf,False,True,"[{'description': 'Consulting hours', 'amount': 4.34532}, {'description': 'Quarterly maintenance', 'amount': 2.05968}, {'description': 'Security audit', 'amount': 274.23}, {'description': 'Freight and shipping', 'amount': 3.6022}, {'description': 'Freight and shipping', 'amount': 3.6022}]"
INV/94775,Initech Inc,2025-01-23,16576.14,INR,198.91368,277.pdf,False,,"[{'description': 'Consulting Hours', 'amount': 433.76}, {'description': 'Consulting Hours', 'amount': 5948.24}, {'description': 'Consulting Hours', 'amount': 1903.77}, {'description': 'Freight and Shipping', 'amount': 8290.37}]"
INV/11452,Wonka Industries,2026-02-06,11402.61,INR,136.83132,278.pdf,False,,"[{'description': 'Freight and Shipping', 'amount': 6293.91}, {'description': 'Premium Support Plan', 'amount': 5108.7}]"
INV-44582,Acme Corp,2025-04-18,3502.08,INR,42.02496,279.pdf,False,,"[{'description': 'Consulting hours', 'amount': 700.63}, {'description': 'Server hardware', 'amount': 2801.45}]"
INV. 52079/INV.,Bluth Company,2026-05-21,9420.74,GBP,11964.3398,28.pdf,False,True,"[{'description': 'Design work', 'amount': 535.31}, {'description': 'Cloud hosting', 'amount': 1701.2}, {'description': 'Data subscription', 'amount': 6327.8}]"
INV-32532,Massive Dynamic,2025-10-23,12017.15,USD,12017.15,280.pdf,False,,"[{'description': 'Security Audit', 'amount': 4451.67}, {'description': 'Design Work', 'amount': 3419.6}, {'description': 'Quarterly Maintenance', 'amount': 2038.86}, {'description': 'Cloud Hosting', 'amount': 1680.18}, {'description': 'Server Hardware', 'amount': 426.84}]"
INV-43785,Vandelay Industries,2025-05-15,12.563,EUR,13.568040000000002,281.pdf,False,True,"[{'description': 'Annual Software License', 'amount': 725.19}, {'description': 'System Installation', 'amount': 2524.52}, {'description': 'Data Subscription', 'amount': 210.44}, {'description': 'License Renewal', 'amount': 2626.92}, {'description': 'Premium Support Plan', 'amount': 1476.16}]"
INV. Account for remittance AC3073293,Globex Llc,11.07.2026,23.07971,EUR,24.9260868,282.pdf,False,True,"[{'description': 'Annual Software License', 'amount': 5.13776}, {'description': 'Onsite Training', 'amount': 1.89192}, {'description': 'License Renewal', 'amount': 7.38612}, {'description': 'System Installation', 'amount': 6.9543}]"
INV-43065,Umbrella Corporation Inc,2026-04-15,10765.09,USD,10765.09,283.pdf,False,True,"[{'description': 'Premium Support Plan', 'amount': 426.8}, {'description': 'Consulting Hours', 'amount': 910.8}, {'description': 'Design Work', 'amount': 230.52}, {'description': 'Premium Support Plan', 'amount': 813.43}, {'description': 'Data Subscription', 'amount': 550.05}]"
INV.86922,Aperture Labs,2026-11-09,7633.49,INR,91.60188,284.pdf,False,True,"[{'description': 'Security Audit', 'amount': 516.39}, {'description': 'Cloud Hosting', 'amount': 1623.1}, {'description': 'Cloud Hosting', 'amount': 3386.88}, {'description': 'Annual Software License', 'amount': 1541.68}]"
INV-39288,Vandelay Industries,2025-08-08,18122.68,EUR,19572.494400000003,285.pdf,False,,"[{'description': 'Design work', 'amount': 6223.59}, {'description': 'Security audit', 'amount': 4223.12}, {'description': 'Data subscription', 'amount': 659.75}, {'description': 'Annual software license', 'amount': 7016.22}]"
INV-28380,Stark Industries Llc,2026-04-13,5764.55,USD,5764.55,286.pdf,False,,"[{'description': 'Consulting hours', 'amount': 2115.0}, {'description': 'Quarterly maintenance', 'amount': 94.34}, {'description': 'Freight and shipping', 'amount': 121.41}, {'description': 'Onsite training', 'amount': 3433.8}]"
INV-20391,Acme Corp,2025-04-09,18406.02,GBP,23375.6454,287.pdf,False,True,"[{'description': 'Annual Software License', 'amount': 3324.28}, {'description': 'Data Subscription', 'amount': 4051.8}, {'description': 'Data Subscription', 'amount': 617.48}, {'description': 'Spare Parts', 'amount': 691.59}, {'description': 'Consulting Hours', 'amount': 6653.2}]"
INV-99283,Hooli Inc,2025-07-14,8850.38,EUR,9558.4104,289.pdf,False,True,"[{'description': 'Premium Support Plan', 'amount': 853.8}, {'description': 'Freight and Shipping', 'amount': 945.1}, {'description': 'License Renewal', 'amount': 390.82}, {'description': 'Premium Support Plan', 'amount': 160.72}, {'description': 'Quarterly Maintenance', 'amount': 558.32}]"
INV-41984,Umbrella Corporation Inc,2025-09-02,5973.7,USD,5973.7,29.pdf,False,,"[{'description': 'Quarterly maintenance', 'amount': 4834.27}, {'description': 'Freight and shipping', 'amount': 666.91}, {'description': 'Onsite training', 'amount': 472.52}]"
INV-11092,Stark Industries Llc,"Jul 19, 2025",16189.71,EUR,17484.8868,290.pdf,False,True,"[{'description': 'Premium Support Plan', 'amount': 1306.92}, {'description': 'Spare Parts', 'amount': 392.92}, {'description': 'Onsite Training', 'amount': 4487.75}, {'description': 'Onsite Training', 'amount': 10.00212}]"
INV/26803,Aperture Labs,2026-08-15,1183.7,EUR,1278.3960000000002,291.pdf,False,,"[{'description': 'Cloud Hosting', 'amount': 633.9}, {'description': 'Spare Parts', 'amount': 549.8}]"
INV. Account for remittance AC2055930,Nakatomi Trading,"Nov 23, 2026",13030.22,USD,13030.22,293.pdf,False,True,"[{'description': 'Cloud Hosting', 'amount': 3063.04}, {'description': 'Cloud Hosting', 'amount': 8990.4}]"
INV-96247,Acme Corp,2026-02-09,10788.24,INR,129.45888,294.pdf,False,True,"[{'description': 'Security Audit', 'amount': 339.44}, {'description': 'Cloud Hosting', 'amount': 5786.99}, {'description': 'Consulting Hours', 'amount': 4649.31}]"
27528-INV,Initech Inc,2026-01-11,6238.75,INR,74.865,295.pdf,False,True,"[{'description': 'Onsite training', 'amount': 6238.75}, {'description': 'Quarterly maintenance', 'amount': 2196.18}]"
INV/84948,Oscorp Industries,2026-05-13,20582.77,EUR,22229.391600000003,296.pdf,False,True,"[{'description': 'Server Hardware', 'amount': 9.06829}, {'description': 'License Renewal', 'amount': 675.438}, {'description': 'Quarterly Maintenance', 'amount': 1.95438}, {'description': 'Premium Support Plan', 'amount': 6.62248}, {'description': 'Design Work', 'amount': 2.26204}]"
30854-INV,Tyrell Corp,2025-09-28,1936.9,GBP,2459.8630000000003,297.pdf,False,True,"[{'description': 'Security Audit', 'amount': 1230.84}, {'description': 'License Renewal', 'amount': 374.98}]"
INV/29298,Cyberdyne Systems,2026-04-28,16452.64,EUR,17768.8512,298.pdf,False,True,"[{'description': 'Freight and Shipping', 'amount': 214.05}, {'description': 'Quarterly Maintenance', 'amount': 5990.74}, {'description': 'Design Work', 'amount': 5960.15}, {'description': 'Freight and Shipping', 'amount': 427.52}]"
INV/12934,Umbrella Corporation Inc,2025-12-03,3771.19,GBP,4789.4113,299.pdf,False,True,"[{'description': 'Freight and Shipping', 'amount': 1304.4}, {'description': 'Spare Parts', 'amount': 1863.76}, {'description': 'Design Work', 'amount': 27.76}, {'description': 'Subtotal', 'amount': 3195.92}, {'description': 'Tax', 'amount': 575.27}]"
INV/83490,Wayne Enterprises Ltd,2025-12-11,5040.48,GBP,6401.4096,3.pdf,False,,"[{'description': 'Quarterly maintenance', 'amount': 1332.4}, {'description': 'License renewal', 'amount': 3268.08}, {'description': 'Security audit', 'amount': 440.0}]"
INV-27481,Massive Dynamic,2026-06-06,9105.31,GBP,11563.743699999999,300.pdf,False,True,"[{'description': 'Annual Software License', 'amount': 2489.75}, {'description': 'Consulting Hours', 'amount': 3620.94}, {'description': 'Premium Support Plan', 'amount': 275.74}]"
INV-67731,Initech Inc,2025-09-25,21154.01,USD,21154.01,301.pdf,False,True,"[{'description': 'Consulting Hours', 'amount': 1749.32}, {'description': 'Design Work', 'amount': 7330.9}, {'description': 'License Renewal', 'amount': 9197.43}, {'description': 'Data Subscription', 'amount': 569.44}, {'description': 'Data Subscription', 'amount': 383.83}]"
INV-62246,Tyrell Corp,2025-03-16,27231.36,INR,326.77632,302.pdf,False,,"[{'description': 'Security Audit', 'amount': 6341.31}, {'description': 'Spare Parts', 'amount': 3208.98}, {'description': 'Premium Support Plan', 'amount': 4673.79}, {'description': 'Quarterly Maintenance', 'amount': 9388.32}, {'description': 'Premium Support Plan', 'amount': 3618.96}]"
INV-2026-69429,Soylent Corp,2026-05-09,10.99921,EUR,11.879146800000001,303.pdf,False,True,"[{'description': 'Spare Parts', 'amount': 1.1504}, {'description': 'Annual Software License', 'amount': 1.19004}, {'description': 'Data Subscription', 'amount': 5.37438}, {'description': 'License Renewal', 'amount': 1.5602}, {'description': 'Quarterly Maintenance', 'amount': 872.4}]"
INV/61230,Wonka Industries,27.11.2026,4702.83,INR,56.43396,305.pdf,False,,"[{'description': 'Cloud Hosting', 'amount': 379.89}, {'description': 'System Installation', 'amount': 4014.0}, {'description': 'Spare Parts', 'amount': 250.42}, {'description': 'Quarterly Maintenance', 'amount': 58.52}]"
INV-9927,Cyberdyne Systems,2025-05-21,4589.47,GBP,5828.6269,306.pdf,False,True,"[{'description': 'Cloud Hosting', 'amount': 542.22}, {'description': 'Onsite Training', 'amount': 1942.56}]"
34739-INV,Bluth Company,2025-07-01,5319.32,INR,63.83184,307.pdf,False,True,"[{'description': 'Onsite training', 'amount': 178.8}, {'description': 'License renewal', 'amount': 5128.02}]"
INV-001,Pied Piper Llc,2025-02-06,8892.91,USD,8892.91,308.pdf,False,True,"[{'description': 'Security Audit', 'amount': 1386.18}, {'description': 'Premium Support Plan', 'amount': 2022.48}, {'description': 'License Renewal', 'amount': 2278.86}, {'description': 'Premium Support Plan', 'amount': 2360.58}]"
Bengaluru_9643_INV_Acct_for_remittance_AC5165015,Nakatomi Trading,05.08.2025,11923.16,GBP,15142.4132,309.pdf,False,,"[{'description': 'Design Work', 'amount': 6944.13}, {'description': 'Cloud Hosting', 'amount': 3298.41}, {'description': 'Consulting Hours', 'amount': 1680.62}]"
INV-35932,Aperture Labs,2025-05-12,10.1211,EUR,10.930788000000002,310.pdf,False,True,"[{'description': 'System installation', 'amount': 4.85282}, {'description': 'Consulting hours', 'amount': 4.78632}]"
INV.80335,Hooli Inc,2025-08-21,1483000.0,EUR,1601640.0,311.pdf,False,,"[{'description': 'Premium Support Plan', 'amount': 406861.0}, {'description': 'Cloud Hosting', 'amount': 955272.0}, {'description': 'Server Hardware', 'amount': 120867.0}]"
INV. 71499/INV. Account for remittance AC2651483,Pied Piper Llc,06.12.2025,8650.59,USD,8650.59,312.pdf,False,,"[{'description': 'Annual Software License', 'amount': 1331.52}, {'description': 'Security Audit', 'amount': 7319.07}]"
INV-11969,Globex Llc,2025-08-11,8353.7,EUR,9021.996000000001,313.pdf,False,True,"[{'description': 'Security Audit', 'amount': 6421.6}, {'description': 'Cloud Hosting', 'amount': 1919.6}]"
INV-1402,Black Mesa Supplies,2025-08-06,9288.43,USD,9288.43,314.pdf,False,,"[{'description': 'Premium support plan', 'amount': 8530.83}, {'description': 'Consulting hours', 'amount': 757.6}]"
INV-52565,Oscorp Industries,"Dec 6, 2025",17277.09,USD,17277.09,315.pdf,False,True,"[{'description': 'Freight and Shipping', 'amount': 700.4}, {'description': 'License Renewal', 'amount': 1420.56}, {'description': 'Server Hardware', 'amount': 8951.25}, {'description': 'Consulting Hours', 'amount': 6164.88}]"
PO-45457,Oscorp Industries,2026-01-14,638.55,EUR,689.634,316.pdf,False,True,"[{'description': 'Design work', 'amount': 256.74}, {'description': 'License renewal', 'amount': 312.4}]"
INV.13872,Acme Corp,2025-09-11,7005.69,GBP,8897.2263,317.pdf,False,True,"[{'description': 'Onsite training', 'amount': 2241.96}, {'description': 'License renewal', 'amount': 2646.16}, {'description': 'Cloud hosting', 'amount': 939.54}]"
INV-86733,Hooli Inc,12.03.2026,5983.61,INR,71.80332,319.pdf,False,True,"[{'description': 'Spare Parts', 'amount': 286.22}, {'description': 'Freight and Shipping', 'amount': 4784.64}]"
INV. Account for remittance AC4508820,Initech Inc,2026-08-10,10905.03,USD,10905.03,320.pdf,False,,"[{'description': 'Quarterly maintenance', 'amount': 3555.95}, {'description': 'Premium support plan', 'amount': 2950.99}, {'description': 'Premium support plan', 'amount': 3257.88}, {'description': 'Onsite training', 'amount': 975.73}, {'description': 'Server hardware', 'amount': 164.48}]"
INV-49439,Tyrell Corp,2026-08-23,1.793,EUR,1.93644,322.pdf,False,True,"[{'description': 'Data Subscription', 'amount': 7.136}, {'description': 'Freight and Shipping', 'amount': 7.345}, {'description': 'Consulting Hours', 'amount': 876.87}, {'description': 'Cloud Hosting', 'amount': 6.711}, {'description': 'System Installation', 'amount': 1.793}]"
INV-59011-INV,Pied Piper Llc,2025-08-18,13073.7,INR,156.8844,324.pdf,False,True,"[{'description': 'Freight and Shipping', 'amount': 848.9}, {'description': 'Data Subscription', 'amount': 458.47}]"
